postalcode,work_location,employee_count,latitude,longitude
C0A 1N0,16 Garfield St.,1,46.4018,-63.3387
C0A 1N0,185 Beach Grove Road,1,46.4018,-63.3387
C0A 1N0,22 Hunt Court,1,46.4018,-63.3387
C0A 1N0,40B Burns Ave.,2,46.4018,-63.3387
C0A 1N0,Access PEI - Summerside,2,46.4018,-63.3387
C0A 1N0,Atlantic Technology Centre,2,46.4018,-63.3387
C0A 1N0,Aubin Arsenault Bldg,2,46.4018,-63.3387
C0A 1N0,Beaconsfield Historic House,1,46.4018,-63.3387
C0A 1N0,Cavendish Visitor Information,1,46.4018,-63.3387
C0A 1N0,Charlottetown,1,46.4018,-63.3387
C0A 1N0,Charlottetown Cannabis Store,1,46.4018,-63.3387
C0A 1N0,Child & Family  Services,2,46.4018,-63.3387
C0A 1N0,Ch'Town Government Garage,13,46.4018,-63.3387
C0A 1N0,Coles Building,2,46.4018,-63.3387
C0A 1N0,Confederation Centre,1,46.4018,-63.3387
C0A 1N0,Frank Gaudet Nursery,3,46.4018,-63.3387
C0A 1N0,Gateway Village,1,46.4018,-63.3387
C0A 1N0,Highway Safety Charlottetown,1,46.4018,-63.3387
C0A 1N0,Holman Building (Ch'town),1,46.4018,-63.3387
C0A 1N0,Innovation PEI,1,46.4018,-63.3387
C0A 1N0,J. Angus MacLean Bldg,1,46.4018,-63.3387
C0A 1N0,Kensington Liquor Store,1,46.4018,-63.3387
C0A 1N0,North Rustico Liquor Store,5,46.4018,-63.3387
C0A 1N0,Potato Service Building,2,46.4018,-63.3387
C0A 1N0,Province House,1,46.4018,-63.3387
C0A 1N0,Provincial Admin Building,25,46.4018,-63.3387
C0A 1N0,Provincial Correctional Centre,4,46.4018,-63.3387
C0A 1N0,Red Road Homes,2,46.4018,-63.3387
C0A 1N0,Research Station,1,46.4018,-63.3387
C0A 1N0,Sherwood Business Centre,5,46.4018,-63.3387
C0A 1N0,SirLouisHenryDaviesLawCourt,1,46.4018,-63.3387
C0A 1N0,Stratford Liquor Store,1,46.4018,-63.3387
C0A 1N0,Summerside Cannabis Store,1,46.4018,-63.3387
C0A 1N0,Summerside Government Garage,2,46.4018,-63.3387
C0A 1N0,Summerside Rotary Reg. Library,1,46.4018,-63.3387
C0A 1N0,Summerside Youth Centre,2,46.4018,-63.3387
C0A 1N0,Tyne Valley Child/Youth Dev Hl,1,46.4018,-63.3387
C0A 1P0,40A Burns Ave.,1,46.3352,-63.1
C0A 1P0,40B Burns Ave.,1,46.3352,-63.1
C0A 1P0,Atlantic Technology Centre,1,46.3352,-63.1
C0A 1P0,Charlottetown,2,46.3352,-63.1
C0A 1P0,Charlottetown Cannabis Store,1,46.3352,-63.1
C0A 1P0,Ch'Town Government Garage,17,46.3352,-63.1
C0A 1P0,Coles Building,1,46.3352,-63.1
C0A 1P0,Confederation Centre,1,46.3352,-63.1
C0A 1P0,Cornwall Library,1,46.3352,-63.1
C0A 1P0,Cornwall Liquor Store,2,46.3352,-63.1
C0A 1P0,Education Technology Centre,1,46.3352,-63.1
C0A 1P0,Elmer Blanchard Building,1,46.3352,-63.1
C0A 1P0,Frank Gaudet Nursery,1,46.3352,-63.1
C0A 1P0,Highway Safety Charlottetown,3,46.3352,-63.1
C0A 1P0,Holland College Royalty Centre,1,46.3352,-63.1
C0A 1P0,Holman Building (Ch'town),1,46.3352,-63.1
C0A 1P0,Holman Centre (Summerside),2,46.3352,-63.1
C0A 1P0,Liquor Control Commission,3,46.3352,-63.1
C0A 1P0,Montague Cannabis Store,1,46.3352,-63.1
C0A 1P0,Murchison House,1,46.3352,-63.1
C0A 1P0,Oak Tree Place,2,46.3352,-63.1
C0A 1P0,Provincial Admin Building,35,46.3352,-63.1
C0A 1P0,Provincial Correctional Centre,6,46.3352,-63.1
C0A 1P0,Queen Street Liquor Store,2,46.3352,-63.1
C0A 1P0,Red Road Homes,1,46.3352,-63.1
C0A 1P0,Research Station,1,46.3352,-63.1
C0A 1P0,Sherwood Business Centre,7,46.3352,-63.1
C0A 1P0,SirLouisHenryDaviesLawCourt,5,46.3352,-63.1
C0A 1P0,Summerside Government Garage,2,46.3352,-63.1
C0A 1P0,Undefined Location,2,46.3352,-63.1
C0A 1P0,West Royalty Liquor Store,5,46.3352,-63.1
C0A 1R0,16 Garfield St.,1,46.1846,-62.6497
C0A 1R0,185 Beach Grove Road,1,46.1846,-62.6497
C0A 1R0,40B Burns Ave.,1,46.1846,-62.6497
C0A 1R0,51-53 Water Street,1,46.1846,-62.6497
C0A 1R0,"548 Main St., Montague",7,46.1846,-62.6497
C0A 1R0,Atlantic Technology Centre,2,46.1846,-62.6497
C0A 1R0,Aubin Arsenault Bldg,2,46.1846,-62.6497
C0A 1R0,Beaconsfield Historic House,1,46.1846,-62.6497
C0A 1R0,Bridgetown Goverment Garage,9,46.1846,-62.6497
C0A 1R0,Brudenell Admin Office,12,46.1846,-62.6497
C0A 1R0,Brudenell Golf,14,46.1846,-62.6497
C0A 1R0,Cardigan Bus Depot,1,46.1846,-62.6497
C0A 1R0,Cardigan Liquor Store,1,46.1846,-62.6497
C0A 1R0,Charlottetown Cannabis Store,1,46.1846,-62.6497
C0A 1R0,Ch'Town Government Garage,10,46.1846,-62.6497
C0A 1R0,Coles Building,1,46.1846,-62.6497
C0A 1R0,Confederation Centre,1,46.1846,-62.6497
C0A 1R0,Crowbush Golf Course,1,46.1846,-62.6497
